title,link,AIRev1_score,AIRev2_score,AIRev3_score,Human_score,status,hypothesis_development_label,experimental_design,data_analysis,writing,primary_topic,secondary_topic,openreview_link,forum_id,authors,supplementary_link,code_link
Echo: A multi-agent AI system for patient-centered pharmacovigilance,https://openreview.net/forum?id=4nrWtE6oZ9,2.0,6.0,4.0,5.0,accepted,B,C,C,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=4nrWtE6oZ9,4nrWtE6oZ9,,,
BadScientist: Can a Research Agent Write Convincing but Unsound Papers that Fool LLM Reviewers?,https://openreview.net/forum?id=7MPstNz66e,3.0,6.0,5.0,5.0,accepted,B,C,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=7MPstNz66e,7MPstNz66e,,,
MechSci: Scaling Clinical Science via Mechanistic Interpretability of Multimodal Medical Foundation Models,https://openreview.net/forum?id=rgpgukbeVf,3.0,6.0,3.0,5.0,accepted,C,B,C,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=rgpgukbeVf,rgpgukbeVf,,,
Towards Automatic Evaluation and Selection of PHI De-identification Models via Multi-Agent Collaboration,https://openreview.net/forum?id=MIjY6VNtY0,3.0,6.0,4.0,5.0,accepted,A,C,C,C,Computer & Data Sciences,HumanâComputer Interaction,https://openreview.net/forum?id=MIjY6VNtY0,MIjY6VNtY0,,,
Green by Design: Energy-Guided Reranking of LLM-Generated Programs,https://openreview.net/forum?id=BxscqmB9Rs,3.0,6.0,3.0,4.0,accepted,D,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=BxscqmB9Rs,BxscqmB9Rs,,,
Reasoning Models Outperform Standard Language Models in De Novo Protein Design,https://openreview.net/forum?id=yXYEbPQp8x,3.0,6.0,3.0,4.0,accepted,B,A,C,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=yXYEbPQp8x,yXYEbPQp8x,,,
Simulating Two-Sided Job Marketplaces with AI Agents,https://openreview.net/forum?id=pjpkEHH5YS,3.0,6.0,5.0,5.0,accepted,D,C,C,C,Social Sciences,Economics,https://openreview.net/forum?id=pjpkEHH5YS,pjpkEHH5YS,,,
Co-Alignment: Rethinking Alignment as Bidirectional Human-AI Cognitive Adaptation,https://openreview.net/forum?id=G5jK2OMT2q,3.0,6.0,3.0,5.0,accepted,B,D,D,C,Computer & Data Sciences,HumanâComputer Interaction,https://openreview.net/forum?id=G5jK2OMT2q,G5jK2OMT2q,,,
QITT-Enhanced Multi-Scale Substructure Analysis with Learned Topological Embeddings for Cosmological Parameter Estimation,https://openreview.net/forum?id=LENY7OWxmN,3.0,6.0,3.0,4.0,accepted,D,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=LENY7OWxmN,LENY7OWxmN,,,
Sustainable Investment Decision-Making on Office Buildings using Reinforcement Learning and Large Language Models,https://openreview.net/forum?id=hjEsIk0Nux,3.0,6.0,4.0,3.0,accepted,B,B,B,B,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=hjEsIk0Nux,hjEsIk0Nux,,,
An AI-First Proof of Concept: Simulating and Refining a Teach-Back Protocol for Dialogic Learning in Programming Education,https://openreview.net/forum?id=0d3Nloe9pB,3.0,6.0,4.0,3.0,accepted,B,C,D,C,Computer & Data Sciences,HumanâComputer Interaction,https://openreview.net/forum?id=0d3Nloe9pB,0d3Nloe9pB,,,
Diverse Inference for Solving ARC at a Human Level,https://openreview.net/forum?id=295UNarKmq,3.0,6.0,3.0,5.0,accepted,B,B,B,B,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=295UNarKmq,295UNarKmq,,,
Self-Spec: Model-Authored Specifications for Reliable LLM Code Generation,https://openreview.net/forum?id=6pr7BUGkLp,4.0,6.0,4.0,3.0,accepted,A,B,C,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=6pr7BUGkLp,6pr7BUGkLp,,,
Simulating Strategic Reasoning: A Digital Twin Approach to AI Advisors in Decision-Making,https://openreview.net/forum?id=L4arZChBJD,2.0,6.0,4.0,4.0,accepted,B,C,C,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=L4arZChBJD,L4arZChBJD,,,
Multi-LLM and Multi-Prompt Strategies for COVID-19 Infodemic Detection in Chinese Social Media: An Empirical Evaluation,https://openreview.net/forum?id=zYDXTzql3n,4.0,6.0,4.0,3.0,accepted,B,B,C,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=zYDXTzql3n,zYDXTzql3n,,,
Survival of the Useful: Evolutionary Boids as a Sandbox for Agent Societies,https://openreview.net/forum?id=N7Kh0K33Dk,3.0,6.0,3.0,4.0,accepted,C,C,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=N7Kh0K33Dk,N7Kh0K33Dk,,,
"Parameter vs. Test-Time Scaling in LLMs: FLOPs-Aware, Cross-Domain, Domain-Dependent, Pareto-Optimal Compute Allocation",https://openreview.net/forum?id=wU35L1GZud,3.0,6.0,4.0,3.0,accepted,D,C,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=wU35L1GZud,wU35L1GZud,,,
From Borges' Library to Procedural Universes: A Formal Framework for Navigability and Limits in Large Language Models,https://openreview.net/forum?id=X0rpsv88au,3.0,6.0,4.0,4.0,accepted,D,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=X0rpsv88au,X0rpsv88au,,,
Do Small Detours Deliver Big Gains? Online Accept/Reject Policies for Overlapping Bus Lines,https://openreview.net/forum?id=NDpRTCW3sM,3.0,6.0,3.0,4.0,accepted,,,,,Social Sciences,Operations Research,https://openreview.net/forum?id=NDpRTCW3sM,NDpRTCW3sM,,,
The Impact of Reduced Towing Fees on Vehicle Redemption Rates for Low-Income Individuals: Evidence from San Francisco's 2020 Policy,https://openreview.net/forum?id=I7meDPJFy8,3.0,6.0,4.0,4.0,accepted,B,B,C,C,Social Sciences,Economics,https://openreview.net/forum?id=I7meDPJFy8,I7meDPJFy8,,,
``You are a brilliant mathematician'' Does Not Make LLMs Act Like One,https://openreview.net/forum?id=sVaRgmH8FE,4.0,6.0,5.0,4.0,accepted,B,C,C,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=sVaRgmH8FE,sVaRgmH8FE,,,
Endocrine Unity and Diversity: A Cross-Tissue Single-Cell Regulatory Atlas,https://openreview.net/forum?id=h40Nyr36om,4.0,6.0,3.0,3.0,accepted,B,D,D,D,Life & Health Sciences,Biology,https://openreview.net/forum?id=h40Nyr36om,h40Nyr36om,,,
Mind Guarding Mind: A Framework for Compensatory Human-AI Collaboration,https://openreview.net/forum?id=E2XBNokxDy,3.0,6.0,3.0,3.0,accepted,C,C,C,C,Computer & Data Sciences,Human-Computer Interaction,https://openreview.net/forum?id=E2XBNokxDy,E2XBNokxDy,,,
AI-Assisted Exploratory Causal Modeling of Cumulative Advantage in Small-$N$ Domains,https://openreview.net/forum?id=neQWbqbgSs,3.0,6.0,3.0,3.0,accepted,C,C,B,C,Computer & Data Sciences,Data Science,https://openreview.net/forum?id=neQWbqbgSs,neQWbqbgSs,,,
The Consistency Confound: Why Stronger Alignment Can Break Black-Box Jailbreak Detection,https://openreview.net/forum?id=B6ZrLXou3u,4.0,6.0,4.0,4.0,accepted,C,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=B6ZrLXou3u,B6ZrLXou3u,,,
Educational attainment and cognitive profile heterogeneity: age-stratified web-based analysis finds no detectable association,https://openreview.net/forum?id=EWYarfMZU2,3.0,6.0,3.0,3.0,accepted,A,D,D,D,Social Sciences,Psychology,https://openreview.net/forum?id=EWYarfMZU2,EWYarfMZU2,,,
Beyond Adam: AI-Authored Discovery of Symbolic Optimization Rules,https://openreview.net/forum?id=vUJOhgV3zh,2.0,6.0,4.0,3.0,accepted,C,D,D,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=vUJOhgV3zh,vUJOhgV3zh,,,
Transit Timing Variations of Exoplanet WASP-4b: Evidence of Orbital Decay,https://openreview.net/forum?id=Yja2KMahOL,3.0,6.0,3.0,3.0,accepted,C,C,C,C,Natural Sciences,Astronomy,https://openreview.net/forum?id=Yja2KMahOL,Yja2KMahOL,,,
AIs Fail to Recognize Themselves and Mostly Think They are GPT or Claude,https://openreview.net/forum?id=7TzkOum3Nu,3.0,6.0,4.0,4.0,accepted,A,C,B,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=7TzkOum3Nu,7TzkOum3Nu,,,
Multi-Agent Social Simulation: An Experimental Framework for Language-Native Social Experiments,https://openreview.net/forum?id=emsnDnmtYP,3.0,6.0,4.0,3.0,accepted,A,C,D,D,Social Sciences,Economics,https://openreview.net/forum?id=emsnDnmtYP,emsnDnmtYP,,,
UnitMath: Unit-Aware Numerical Reasoning and Dimensional Consistency for Scientific Table Claims,https://openreview.net/forum?id=OG8sFxeNHv,3.0,6.0,3.0,4.0,accepted,C,C,C,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=OG8sFxeNHv,OG8sFxeNHv,,,
Thermodynamic Guardrails: A Bond Graph-Based Method for Self-Correcting Model Reduction in Autonomous Scientific Discovery,https://openreview.net/forum?id=hreVjQIgyt,3.0,6.0,4.0,4.0,accepted,C,C,C,D,Life & Health Sciences,Biology,https://openreview.net/forum?id=hreVjQIgyt,hreVjQIgyt,,,
Visible Yet Unreadable: A Systematic Blind Spot of VisionâLanguage Models Across Writing Systems,https://openreview.net/forum?id=if6RZty9HK,4.0,6.0,4.0,3.0,accepted,B,C,C,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=if6RZty9HK,if6RZty9HK,,,
Behavioral Fingerprinting of Large Language Models,https://openreview.net/forum?id=s4gTj3fOIo,2.0,6.0,4.0,4.0,accepted,B,C,C,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=s4gTj3fOIo,s4gTj3fOIo,,,
Uncertainty-Aware Role-Switching Debate: Improving Truthfulness in Large Language Models,https://openreview.net/forum?id=heYWeCpOlS,2.0,6.0,4.0,5.0,accepted,D,C,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=heYWeCpOlS,heYWeCpOlS,,,
Dynamically Induced In-Group Bias: Experimental Evidence of Motivated Reasoning in Large Language Models,https://openreview.net/forum?id=SF7BjKnqdh,2.0,6.0,4.0,3.0,accepted,D,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=SF7BjKnqdh,SF7BjKnqdh,,,
FeasibilityâGuided Fair Adaptive Reinforcement Learning for Medicaid Care Management,https://openreview.net/forum?id=d7Uvmmpo0z,3.0,5.0,4.0,3.0,accepted,C,C,C,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=d7Uvmmpo0z,d7Uvmmpo0z,,,
IVTFuse: An Efficient Vision-Language Guided Infrared-Visible Image Fusion Network with Frequency-Strip and Hybrid Pooling Attention Modules,https://openreview.net/forum?id=71C5p8pm6s,3.0,6.0,4.0,4.0,accepted,D,C,C,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=71C5p8pm6s,71C5p8pm6s,,,
Multi-Agent AI System for Pharmaceutical Commercial Forecasting: GPT-5 Orchestration with  Specialized Agent Architecture,https://openreview.net/forum?id=3Sv9wfwXPW,2.0,1.0,2.0,,rejected,D,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=3Sv9wfwXPW,3Sv9wfwXPW,,,
Joint Material Reconstruction for Sparse Dual-Energy CT,https://openreview.net/forum?id=mEbFdPy2oy,2.0,4.0,2.0,,rejected,C,C,C,D,Engineering & Technology,Biomedical Engineering,https://openreview.net/forum?id=mEbFdPy2oy,mEbFdPy2oy,,,
Scaling Laws of Deception in AI Scientist Agents: World-Model Manipulation in LLMs,https://openreview.net/forum?id=Pqjg14gnAV,2.0,2.0,2.0,,rejected,B,B,B,B,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=Pqjg14gnAV,Pqjg14gnAV,,,
"A Reproducible Protocol for Resource-Aware Predictive Process Monitoring: Compact Baselines, a Simulator Blueprint, and Pitfalls",https://openreview.net/forum?id=XjJeBSf7NB,3.0,6.0,4.0,2.0,rejected,C,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=XjJeBSf7NB,XjJeBSf7NB,,,
The Shape of Risk: Dynamic Regime Shifts in Factor Models for Market Portfolio Optimization,https://openreview.net/forum?id=Wu0W5BJ7UR,2.0,2.0,2.0,,rejected,C,C,C,C,Social Sciences,Economics,https://openreview.net/forum?id=Wu0W5BJ7UR,Wu0W5BJ7UR,,,
Single-Loop Penalty Methods for Bilevel Reinforcement Learning,https://openreview.net/forum?id=NRaWmVVltg,4.0,6.0,4.0,3.0,rejected,D,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=NRaWmVVltg,NRaWmVVltg,,,
Initiation of Programmed Cell Death in Cancer Stem Cells: In Silico Mutagenesis for Optimized TRAILâDR5 Binding with Perplexity AI,https://openreview.net/forum?id=2w5HypzUpN,2.0,2.0,2.0,,rejected,A,A,A,A,Life & Health Sciences,Medicine & Health,https://openreview.net/forum?id=2w5HypzUpN,2w5HypzUpN,,,
The Self-Limiting Nature of QBO-Dependent SAI: An Optimization Agentâs Discovery of Intervention-Variability Feedback,https://openreview.net/forum?id=eSlhdv8zUL,2.0,6.0,3.0,,rejected,D,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=eSlhdv8zUL,eSlhdv8zUL,,,
Diagnostic Failure Paradigm: Transforming AI System Validation Through Systematic Analysis of Classical Model Failures,https://openreview.net/forum?id=7k3i6JYvFo,2.0,6.0,2.0,,rejected,D,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=7k3i6JYvFo,7k3i6JYvFo,,,
The Verifiability Gateway: A Governance Agentâs Discovery of SAI Non-Identifiability,https://openreview.net/forum?id=VUTIDJhvD3,2.0,6.0,3.0,,rejected,D,C,D,D,Interdisciplinary,Science & Technology Studies,https://openreview.net/forum?id=VUTIDJhvD3,VUTIDJhvD3,,,
"Indirect Prompt Injection in AI-Native Peer Review: Risks, Detection, and Defenses",https://openreview.net/forum?id=q15GkFTXbM,3.0,5.0,4.0,1.0,rejected,C,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=q15GkFTXbM,q15GkFTXbM,,,
A Multi-Agent LLM System for Protein Sequence Design and Structure-Oriented Ranking,https://openreview.net/forum?id=7qIGNFpf1C,2.0,4.0,3.0,,rejected,D,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=7qIGNFpf1C,7qIGNFpf1C,,,
Exploring Vision-Language Alignment under Subtle Contradictions,https://openreview.net/forum?id=bNP4BRONCE,3.0,2.0,4.0,,rejected,D,D,D,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=bNP4BRONCE,bNP4BRONCE,,,
CRISPR Screen Design for T Cell Exhaustion Regulators: A Systematic Approach to Identify 32 Target Genes,https://openreview.net/forum?id=98iucZYjap,2.0,5.0,3.0,,rejected,D,D,D,D,Life & Health Sciences,Biology,https://openreview.net/forum?id=98iucZYjap,98iucZYjap,,,
Integrating Segmented Cell Imaging and Molecular Networks for Drug-Specific Analysis in CM4AI,https://openreview.net/forum?id=zTiOPZnpWv,2.0,3.0,4.0,,rejected,B,C,B,B,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=zTiOPZnpWv,zTiOPZnpWv,,,
HALT: A Framework for Hallucination Detection in Large Language Models,https://openreview.net/forum?id=YysFSiPQf7,2.0,4.0,2.0,,rejected,C,D,C,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=YysFSiPQf7,YysFSiPQf7,,,
CXCL13 as a Prognostic Biomarker of Survival Outcomes in Muscle-Invasive Bladder Cancer,https://openreview.net/forum?id=sXgKlXfaBK,3.0,5.0,4.0,2.0,rejected,D,D,C,C,Life & Health Sciences,Medicine & Health,https://openreview.net/forum?id=sXgKlXfaBK,sXgKlXfaBK,,,
Adaptive Federated Q-Learning with Importance Averaging: Near-Optimal Sample Complexity and $K$-Independent Communication,https://openreview.net/forum?id=wLhQMbyF3y,3.0,5.0,3.0,,rejected,D,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=wLhQMbyF3y,wLhQMbyF3y,,,
Quantum Semantic Dynamics: A Unified Framework for N-Dimensional Semantic Hilbert Spaces with Experimental Validation,https://openreview.net/forum?id=814MdsPtZq,2.0,1.0,3.0,,rejected,C,C,D,D,Interdisciplinary,Cognitive Science,https://openreview.net/forum?id=814MdsPtZq,814MdsPtZq,,,
Superior Energy Storage Performance in High-Entropy Dielectric Ceramics Discovered by AI Materials Scientist,https://openreview.net/forum?id=gArBKNBVyN,2.0,6.0,3.0,,rejected,C,D,D,D,Engineering & Technology,Materials Science,https://openreview.net/forum?id=gArBKNBVyN,gArBKNBVyN,,,
PST-Auto-Agent: A Multi-Agent Ensemble Framework for Paper Source Tracing,https://openreview.net/forum?id=6b5kZtfwIH,2.0,1.0,4.0,,rejected,A,C,B,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=6b5kZtfwIH,6b5kZtfwIH,,,
GATv2-NS3 Hybrid IDS: Self-Focusing Simulations for Network Intrusion Detection,https://openreview.net/forum?id=S8uzdZvStA,3.0,6.0,4.0,2.0,rejected,C,C,C,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=S8uzdZvStA,S8uzdZvStA,,,
Temporal Motif-Enhanced Contrastive Learning for Adaptive Anomaly Detection in Dynamic Networks,https://openreview.net/forum?id=AL5YBk5JXP,2.0,2.0,3.0,,rejected,C,D,C,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=AL5YBk5JXP,AL5YBk5JXP,,,
Automated Mining of Hinge-like Protein Modules from AlphaFold PAE: BCR-Parts,https://openreview.net/forum?id=3PWDmzgjbb,3.0,4.0,2.0,,rejected,D,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=3PWDmzgjbb,3PWDmzgjbb,,,
"Moral Elevation, Empathy, and Group Cohesion: Predicting Immediate Prosocial Intentions in an Online Survey Context",https://openreview.net/forum?id=PYqvzvr5F7,1.0,1.0,2.0,,rejected,B,B,B,D,Social Sciences,Psychology,https://openreview.net/forum?id=PYqvzvr5F7,PYqvzvr5F7,,,
Backtest to the Future: Can Large Language Models Generate Publishable AI Research Ideas?,https://openreview.net/forum?id=aK9JwuE29c,2.0,6.0,3.0,,rejected,B,C,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=aK9JwuE29c,aK9JwuE29c,,,
The Overfitting Crisis in LLM Workflows: Learning from Machine Learningâs Past Mistakes,https://openreview.net/forum?id=maMnVCHl8J,3.0,6.0,4.0,3.0,rejected,B,NA,C,C,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=maMnVCHl8J,maMnVCHl8J,,,
Exploring the Potential for AI Intervention in Value Judgment Through Free Discussion Among Large Language Models: Focusing on Multi-Stage Trolley Dilemma Discussion Analysis,https://openreview.net/forum?id=diwnmHfFNE,2.0,3.0,2.0,,rejected,A,C,B,B,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=diwnmHfFNE,diwnmHfFNE,,,
"A Simulation Study on the Impact of Technology, Resources, and Culture on Human Desire",https://openreview.net/forum?id=KnkFyU8BmD,1.0,1.0,2.0,,rejected,B,B,C,C,Interdisciplinary,Computational Social Science,https://openreview.net/forum?id=KnkFyU8BmD,KnkFyU8BmD,,,
EndoNet: Content-Aware Linear Attention for Endoscopic Video Super-Resolution,https://openreview.net/forum?id=si22iakiB5,2.0,3.0,2.0,,rejected,C,C,C,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=si22iakiB5,si22iakiB5,,,
Calculation of the n=1 Critical Point in the Bose-Hubbard Model on the Isotropic Union Jack Lattice via Quantum Monte Carlo (QMC),https://openreview.net/forum?id=KjkhwoXbYK,1.0,1.0,2.0,,rejected,D,D,D,D,Natural Sciences,Physics,https://openreview.net/forum?id=KjkhwoXbYK,KjkhwoXbYK,,,
Breaking the Chart Barrier: A Comprehensive Analysis Reveals Why AI Excels at Code but Fails at Visual Scientific Diagrams,https://openreview.net/forum?id=51ri0E84gG,2.0,6.0,3.0,,rejected,C,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=51ri0E84gG,51ri0E84gG,,,
Intelligent_Document_Processing_for_Graduate_Admissions__An_End_to_End_Pipeline_with_Calibrated_Abstention,https://openreview.net/forum?id=w7c1rotw9I,1.0,1.0,2.0,,rejected,B,B,B,B,Computer & Data Sciences,HumanâComputer Interaction,https://openreview.net/forum?id=w7c1rotw9I,w7c1rotw9I,,,
SHARP: Cascaded Regex-LLM Architecture for Phishing Detection,https://openreview.net/forum?id=EwXxI9mF4d,2.0,6.0,4.0,2.0,rejected,C,C,C,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=EwXxI9mF4d,EwXxI9mF4d,,,
AgentAdapter-TimesFM: Agentic Residual Adapters for Scientific Time-Series Forecasting,https://openreview.net/forum?id=ud9cRk9yBM,2.0,6.0,3.0,,rejected,D,C,C,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=ud9cRk9yBM,ud9cRk9yBM,,,
DinoV3âLSTM for Early-Stage Classification of Paroxysmal Atrial Fibrillation in ECGs Toward Prediction,https://openreview.net/forum?id=udPANfLJBW,2.0,3.0,2.0,,rejected,B,C,C,D,Interdisciplinary,Biomedical Engineering,https://openreview.net/forum?id=udPANfLJBW,udPANfLJBW,,,
Computation of Sixth-Order Strong Coupling Expansion Coefficient for the Fermi-Hubbard Model on Honeycomb Lattice,https://openreview.net/forum?id=nRK2lFl77R,2.0,1.0,3.0,,rejected,D,D,D,D,Natural Sciences,Physics,https://openreview.net/forum?id=nRK2lFl77R,nRK2lFl77R,,,
Synthetic Realism in Finance: A High-Fidelity Market Simulation with Adaptive LLM Agents,https://openreview.net/forum?id=qSmh66KJR4,2.0,6.0,3.0,,rejected,A,B,B,B,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=qSmh66KJR4,qSmh66KJR4,,,
Modular and Hybrid Frameworks for LLM-Based Agents in Complex Strategy Games: An Empirical Study in Slay the Spire,https://openreview.net/forum?id=gC3D2ESSyK,2.0,4.0,4.0,,rejected,C,C,C,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=gC3D2ESSyK,gC3D2ESSyK,,,
TensorCompress: Next-Generation Model Compression via Tensor Program Synthesis Beyond Quantization,https://openreview.net/forum?id=aSlhaqLbL1,1.0,1.0,1.0,,rejected,D,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=aSlhaqLbL1,aSlhaqLbL1,,,
Breaking Points: How Transformer Vulnerabilities Reveal Paths to Faster Inference,https://openreview.net/forum?id=U4q6HXFvKn,1.0,6.0,4.0,,rejected,C,D,C,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=U4q6HXFvKn,U4q6HXFvKn,,,
AGIArch: A Unified Hierarchical Architecture for Artificial General Intelligence,https://openreview.net/forum?id=aMep22Wzw7,1.0,1.0,1.0,,rejected,D,D,D,D,Computer & Data Sciences,Artificial Intelligence & Machine Learning,https://openreview.net/forum?id=aMep22Wzw7,aMep22Wzw7,,,
